name	aeroway	@lat	@lon
	helipad	48.2803399	-4.4369109
	helipad	48.2810052	-4.4358932
	helipad	48.2812460	-4.4342778
	helipad	48.2812492	-4.4347286
	helipad	48.2812535	-4.4351891
	helipad	48.2812524	-4.4356448
	helipad	48.2803589	-4.4351697
	helipad	48.2827850	-4.4373644
	helipad	48.2795360	-4.4399641
	helipad	48.7686032	2.2067894
	helipad	48.7665605	2.2114489
	helipad	48.7664491	2.2106123
	helipad	48.7684366	2.2071184
	helipad	48.7682745	2.2074387
	helipad	48.7681112	2.2077629
	helipad	48.7679369	2.2081112
	helipad	48.7677712	2.2084372
	helipad	48.7676054	2.2087669
	helipad	48.7679678	2.1938721
	helipad	48.7680143	2.1941973
	helipad	48.7679057	2.1945354
	helipad	48.7676787	2.1948671
	helipad	48.7675447	2.1946788
	helipad	48.7667030	2.2111686
	helipad	48.7668427	2.2108913
	helipad	48.7663066	2.2108872
	helipad	48.7708213	2.1919344
	helipad	48.7706183	2.1920756
	helipad	48.7704378	2.1922211
	helipad	48.7714954	2.1912882
	helipad	48.7702494	2.1923531
	helipad	48.7700677	2.1924910
	helipad	48.7698835	2.1926474
	helipad	48.7697067	2.1927853
	helipad	45.4625641	7.1343079
	helipad	47.9815897	1.7593792
	helipad	47.9813333	1.7592241
	helipad	47.9810899	1.7590641
	helipad	44.2749056	1.7252863
	helipad	47.2793623	5.0763120
Moghegno	helipad	46.2459215	8.6968590
Aurigeno	helipad	46.2299191	8.7203612
	helipad	45.6270580	8.7415946
	helipad	44.5404781	-1.1345687
	helipad	44.5243641	-1.1317375
	helipad	44.5415901	-1.1347806
	helipad	44.5415024	-1.1350004
	helipad	44.5414042	-1.1348328
	helipad	44.3560890	-1.2387628
	helipad	44.3658483	-1.2586061
	helipad	44.3663836	-1.2579877
	helipad	44.5272395	-1.1644137
	helipad	44.3743253	8.5958390
	helipad	51.3760587	-0.4446078
	helipad	45.6476731	6.8615262
	helipad	45.6457250	6.8836049
	helipad	48.2985314	-4.5631555
	helipad	49.1908253	8.1142630
Lojé Nature - paramoteur	helipad	46.0398368	0.3170213
	helipad	46.0227522	7.0052581
	helipad	50.6293012	6.9412137
	helipad	46.1445359	7.8500265
	helipad	45.5960310	4.3618184
	helipad	50.8174899	-0.1026133
	helipad	46.2158463	8.6641360
	helipad	49.4760994	8.5217028
	helipad	50.5991272	6.2895293
Dépose hélicoptère	helipad	45.0438518	5.5583359
Limmerenfirn	helipad	46.8106197	8.9677405
Glärnischfirn	helipad	47.0040655	8.9916873
	helipad	45.6633482	6.8952921
	helipad	45.6450444	6.8784036
Michob	helipad	45.8413923	7.9443512
	helipad	45.1612561	5.9438232
Hinton Charterhouse estate helipad	helipad	51.3246324	-2.3229277
Ascot Racecourse Heliport	heliport	51.4170679	-0.6734318
Chewton Glen helipad 2	helipad	50.7471825	-1.6843265
Chewton Glen helipad 1	helipad	50.7466405	-1.6844929
Lucknam Park Hotel helipad	helipad	51.4541003	-2.2614028
Potters helipad	helipad	50.9566082	-0.1746548
Fedden Village helipad	helipad	51.4834797	-2.8010522
paynetts farm helipad	helipad	51.1122882	0.4727588
Harbins Park Farm helipad	helipad	50.9202859	-2.1320848
Butleigh Hockey Pitch (?) helipad	helipad	51.1168361	-2.7203918
Hilton Cobham Helipad	helipad	51.3332811	-0.4363063
The Royal Berkshire Shooting School helipads	helipad	51.4993615	-1.1490157
Curlew's Farm helipad	helipad	51.0321259	-1.5859714
	helipad	50.6222769	-2.0295573
Thorns Beach House helipad	helipad	50.7635187	-1.4434984
	helipad	50.1699316	-5.0091009
unknown helipad	helipad	50.2780151	-3.8725035
Birch Grove House helipad	helipad	51.0554662	0.0097675
	helipad	50.7332093	-1.2851697
	helipad	46.2573042	8.7874911
	helipad	45.2934374	6.2318203
	helipad	50.9366342	-3.2836277
Middlewick House helipad	helipad	51.4401087	-2.2037047
castle head helipad	helipad	51.2716022	-2.8804106
ABP Yetminster helipad	helipad	50.8847164	-2.5792198
ABP Langport helipad	helipad	51.0331924	-2.8163289
poole ferry terminal helipad	helipad	50.7084657	-1.9958650
Epsom Downs Racecourse helipads	helipad	51.3074232	-0.2520705
Duncan Hamilton Rofgo Ltd helipad	helipad	51.1506792	-1.2475008
	helipad	51.0296261	-0.6964104
	helipad	50.8618183	3.1763417
Avtrade Global Headquarters helipad	helipad	50.9468299	-0.2102341
unknown name helipad	helipad	50.0654684	-5.0932781
Webbs Land Vineyard helipad	helipad	50.8949063	-1.2038068
Oakfield House helipad	helipad	51.4981142	-0.8737627
unknown name helipad	helipad	51.2856738	0.5548414
MANOR FARM helipad	helipad	50.9742055	0.4134673
black rock manor	helipad	51.1342723	-0.6591596
The French Horn	helipad	51.4779189	-0.9164366
The Coach House	helipad	50.5449731	-4.9068085
	helipad	51.1555347	-0.1973883
	helipad	47.3444325	-2.5122463
Gileston Manor helipad	helipad	51.3934141	-3.4135676
	helipad	47.4111475	8.3872300
Hörnlihütte	helipad	45.9822452	7.6771622
	helipad	51.2110918	-1.6041333
	helipad	49.9115161	7.0335480
	helipad	51.4507679	-0.5756393
unknown name helipad	helipad	51.3189808	-2.3265704
	helipad	45.5989502	6.7549936
	helipad	45.5988474	6.7548841
bickleigh barracks helipad	helipad	50.4398677	-4.0810333
	helipad	45.2953242	7.4288338
Heli-West	helipad	51.1473006	-1.5713379
Heli-South	helipad	51.1444278	-1.5670753
Heli-East	helipad	51.1485101	-1.5618912
unknown name helipad	helipad	50.1011007	-5.1316777
	helipad	42.1964395	-1.4591602
	helipad	47.2462703	8.1897913
	helipad	51.4616500	0.2549681
	helipad	46.9351339	8.6930629
	helipad	43.2237857	6.6344879
	helipad	43.2262342	6.6329444
	helipad	43.2508406	6.6310142
	helipad	43.2470147	6.6376972
	helipad	43.2429036	6.6381591
	helipad	43.2178122	6.6348521
	helipad	43.2566793	6.6747629
	helipad	43.2663459	6.6740583
	helipad	44.4617570	7.5898495
	helipad	47.4247839	0.7189326
DZ Ecole des Fourriers	helipad	49.6692908	-1.6832802
	helipad	51.3172871	-0.2681965
Elisuperficie Livellato	helipad	44.4869333	8.8775159
	helipad	45.2885945	7.4033696
De la Tejera	helipad	42.1602944	-2.3239494
	helipad	51.4411329	-0.6291692
	helipad	42.5313822	2.2786117
	helipad	47.2815509	7.6440358
unknown name helipad	helipad	51.1061775	-0.6398493
	helipad	43.6907117	-1.0685930
	helipad	43.6907566	-1.0683532
	helipad	43.6908022	-1.0681132
	helipad	43.6908481	-1.0678747
	helipad	43.6908968	-1.0676378
	helipad	43.6909443	-1.0673959
	helipad	43.6909932	-1.0671590
	helipad	43.6910411	-1.0669192
	helipad	43.6910915	-1.0666782
	helipad	43.6908405	-1.0667150
	helipad	43.6907503	-1.0671981
	helipad	43.6906578	-1.0676703
	helipad	43.6905629	-1.0681520
	helipad	43.6904711	-1.0686318
	helipad	43.6870195	-1.0699617
	helipad	43.6870625	-1.0697349
	helipad	43.6871090	-1.0695087
	helipad	43.6871474	-1.0692802
	helipad	43.6871897	-1.0690589
	helipad	43.6872320	-1.0688223
	helipad	43.6872762	-1.0686009
	helipad	43.6873204	-1.0683724
	helipad	43.6875078	-1.0684741
	helipad	43.6874622	-1.0687008
	helipad	43.6874216	-1.0689311
	helipad	43.6873793	-1.0691596
	helipad	43.6873334	-1.0693836
	helipad	43.6872928	-1.0696157
	helipad	43.6872459	-1.0698442
	helipad	43.6872017	-1.0700710
	helipad	43.6866510	-1.0698888
	helipad	43.6866952	-1.0696495
	helipad	43.6867388	-1.0694003
	helipad	43.6867850	-1.0691673
	helipad	43.6868306	-1.0689235
	helipad	43.6868728	-1.0686788
	helipad	43.6869216	-1.0684368
	helipad	43.6869678	-1.0682100
	helipad	43.6862405	-1.0720506
	helipad	43.6862860	-1.0718050
	helipad	43.6863296	-1.0715639
	helipad	43.6863748	-1.0713237
	helipad	43.6864194	-1.0710867
	helipad	43.6864643	-1.0708424
	helipad	43.6865098	-1.0706031
	helipad	43.6866523	-1.0719373
	helipad	43.6867005	-1.0716953
	helipad	43.6867440	-1.0714533
	helipad	43.6867889	-1.0712122
	helipad	43.6868371	-1.0709755
	helipad	43.6868195	-1.0721172
	helipad	43.6868663	-1.0718725
	helipad	43.6869112	-1.0716314
	helipad	43.6869581	-1.0714002
	helipad	43.6870004	-1.0711726
	helipad	51.4175817	-0.4025464
	helipad	46.0847158	8.5548253
Cardiff Heliport	helipad	51.4682557	-3.1379152
Halmpstone Manor	helipad	51.0366437	-4.0056077
Lythe Hill Hotel	helipad	51.0833351	-0.6801566
Old Thorns Manor Hotel	helipad	51.0765084	-0.8308784
Mercure Great Danes Hotel	helipad	51.2578685	0.6148317
the priory	helipad	51.1062154	0.3881100
Lainston House Hotel	helipad	51.0823557	-1.3682115
	helipad	45.8769811	8.9246911
unknown name	helipad	50.8032870	-1.4090231
	helipad	46.1946253	6.0316645
	helipad	43.4485937	5.7991649
Héliport de Soccia	helipad	42.1842259	8.9067003
Hélisurface de Croce maiò	helipad	42.1965029	8.9156820
	helipad	46.0237253	8.2758428
	helipad	42.5343301	2.4653580
	helipad	50.4209009	4.4898581
	helipad	46.7075884	6.9136862
	helipad	49.0405985	8.3093498
	helipad	51.1999368	5.9918551
Verkehrsstützpukt Urdorf	helipad	47.3729542	8.4207548
Stans	helipad	46.9656597	8.3872603
	helipad	46.4814672	6.8286736
	helipad	46.1726971	7.5719891
	helipad	46.3848179	5.7709520
	helipad	51.3358502	1.3509294
	helipad	50.0451601	8.3225012
	helipad	50.0470614	8.3289281
	helipad	50.0465220	8.3278546
	helipad	50.0454879	8.3210604
	helipad	50.0457374	8.3248807
	helipad	50.0463839	8.3289258
	helipad	50.0449406	8.3197819
	helipad	50.0468820	8.3263267
	helipad	50.0463809	8.3273023
	helipad	50.0447250	8.3198424
	helipad	50.0460910	8.3277931
	helipad	50.0450338	8.3235554
	helipad	50.0462989	8.3286457
	helipad	50.0460402	8.3252051
	helipad	50.0447958	8.3207834
	helipad	50.0454577	8.3206477
	helipad	50.0450793	8.3187256
	helipad	50.0453765	8.3197167
	helipad	50.0448357	8.3212053
	helipad	50.0450553	8.3211515
	helipad	50.0450254	8.3207254
	helipad	50.0461588	8.3280642
	helipad	50.0459603	8.3272193
	helipad	50.0448560	8.3187552
	helipad	50.0464557	8.3275748
	helipad	50.0463164	8.3270083
	helipad	50.0457216	8.3238637
	helipad	50.0452495	8.3235220
	helipad	50.0446415	8.3188051
	helipad	50.0453535	8.3220480
	helipad	50.0465877	8.3281321
	helipad	50.0455654	8.3219903
	helipad	50.0456013	8.3224106
	helipad	50.0458310	8.3252863
	helipad	50.0451564	8.3197116
	helipad	50.0459457	8.3247619
	helipad	50.0467104	8.3287037
	helipad	50.0460277	8.3275038
	helipad	50.0450704	8.3239568
	helipad	50.0468930	8.3288016
	helipad	50.0454717	8.3234799
	helipad	50.0455217	8.3249667
	helipad	50.0454149	8.3255263
	helipad	50.0451345	8.3221042
	helipad	50.0452946	8.3186978
	helipad	50.0452896	8.3239202
	helipad	50.0466541	8.3284158
	helipad	50.0465164	8.3291378
	helipad	50.0452385	8.3206882
	helipad	50.0452718	8.3210953
	helipad	50.0449157	8.3221313
	helipad	50.0453812	8.3224504
	helipad	50.0449475	8.3225446
	helipad	50.0462466	8.3267317
	helipad	50.0453163	8.3250761
	helipad	50.0456892	8.3234284
	helipad	50.0456267	8.3254003
	helipad	50.0455028	8.3238948
	helipad	50.0470506	8.3278002
	helipad	43.4152321	6.0174417
	helipad	43.5458728	6.9591627
	helipad	43.5457286	6.9589583
	helipad	43.5455844	6.9587540
	helipad	43.5454526	6.9585673
	helipad	42.5233732	8.7910998
	helipad	42.5233724	8.7913525
	helipad	42.5233717	8.7916031
	helipad	43.4433562	5.2133668
	helipad	48.8800504	-1.5666478
	helipad	48.8798785	-1.5665259
	helipad	50.5731483	3.0953212
	helipad	45.9277001	6.1036922
	helipad	45.9278201	6.1038121
	helipad	45.9279447	6.1039316
	helipad	45.9280677	6.1040395
	helipad	45.9303555	6.1046254
	helipad	45.9302547	6.1048554
	helipad	45.9313494	6.1058022
1	helipad	43.3884007	6.3768812
2	helipad	43.3883818	6.3772862
1	helipad	43.3883252	6.3776307
1	helipad	43.3880736	6.3772447
3	helipad	43.3879730	6.3762080
4	helipad	43.3881076	6.3761110
	helipad	46.1739550	-1.1902812
	helipad	46.1742354	-1.1902597
	helipad	46.1743648	-1.1932764
	helipad	46.1741010	-1.1934768
	helipad	43.7573526	4.4210645
	helipad	43.7573658	4.4212977
	helipad	43.7572631	4.4218950
	helipad	43.7572758	4.4221384
	helipad	43.7572910	4.4223779
	helipad	43.7573030	4.4226168
	helipad	43.7573196	4.4228582
	helipad	43.7573350	4.4231006
	helipad	44.8362457	-0.6963854
	helipad	43.5752283	3.9597487
	helipad	43.5747832	3.9595165
	helipad	43.5751365	3.9631790
	helipad	43.5748509	3.9631340
